x_m,y_m,n_Cu_m3,S_iz_Cu_m3_s,Bx_T,By_T,Bmag_T
-0.065625,0.528125,1.9916442920577162e+17,11828335.10244718,2.542162158826183e-05,-0.0014826185348275217,0.0014828364638955584
-0.065625,0.534375,1.9916442920577517e+17,10439230.859947393,2.4379288987396958e-05,-0.0014835560100319597,0.0014837563090458888
-0.065625,0.5406249999999999,1.838440884976386e+17,9213222.37690957,2.3380798233254865e-05,-0.0014844389706561943,0.0014846230899891212
-0.065625,0.546875,2.144847699139117e+17,8131167.1514235735,2.2424334393454754e-05,-0.0014852708294950856,0.0014854400990016424
-0.065625,0.5531249999999999,2.2980511062204826e+17,7176168.269461851,2.1508147455361653e-05,-0.0014860547703714063,0.0014862104093803727
-0.065625,0.559375,1.761839181435672e+17,6333311.180524692,2.0630551584146255e-05,-0.0014867937644745931,0.0014869368909739237
-0.065625,0.565625,1.5320340708136554e+17,5589431.292176159,1.9789924134694194e-05,-0.00148749058547306,0.0014876222245476987
-0.065625,0.5718749999999999,1.4554323672729725e+17,4932908.7815039065,1.8984704463322786e-05,-0.0014881478234954112,0.0014882689150747218
-0.065625,0.578125,1.915042588517069e+17,4353487.441374202,1.8213392578894316e-05,-0.001488767898068414,0.0014888793040365212
-0.065625,0.5843749999999999,2.681059623923896e+17,3842114.750461555,1.747454766736314e-05,-0.0014893530700926447,0.001489455580811514
-0.065625,0.590625,2.5278562168424858e+17,3390800.6840300104,1.6766786518955062e-05,-0.0014899054529303511,0.0014899997932220552
-0.065625,0.596875,2.144847699139117e+17,2992493.072309221,1.608878188296602e-05,-0.0014904270226741582,0.001490513857305538
-0.061875,0.0031249999999999997,7660170354068251.0,1334582341104.5693,-0.003062320899605706,-0.0005188370699176401,0.0031059622015218763
-0.061875,0.009375,6.128136283254601e+16,1159602677439.4568,-0.002866782940903619,-0.00033731383320258733,0.002886559379663932
-0.061875,0.015625,6.1281362832546e+16,1007302014627.0762,-0.002660585344929319,-0.0001840090495865696,0.002666940889480383
